@relation winners_losers
@attribute person_name string
@attribute total_vowels numeric
@attribute total_consonants numeric
@attribute pos_0 numeric
@attribute pos_1 numeric
@attribute pos_2 numeric
@attribute pos_3 numeric
@attribute pos_4 numeric
@attribute pos_5 numeric
@attribute par_0 {True,False}
@attribute par_1 {True,False}
@attribute par_2 {True,False}
@attribute par_3 {True,False}
@attribute par_4 {True,False}
@attribute par_5 {True,False}
@attribute type_0 {v,c}
@attribute type_1 {v,c}
@attribute type_2 {v,c}
@attribute type_3 {v,c}
@attribute type_4 {v,c}
@attribute type_5 {v,c}
@attribute first_name_length_parity {True,False}
@attribute last_name_length_parity {True,False}
@attribute class {+,-}
@data
'Ed Pednault',4,7,4,3,-65,15,4,3,True,False,False,False,True,False,v,c,c,c,v,c,True,True,-
'Neela Khan',4,6,13,4,4,11,0,-65,False,True,True,False,True,False,c,v,v,c,v,c,False,True,+
'Bir Bhanu',3,6,1,8,17,-65,1,7,False,True,False,False,False,False,c,v,c,c,c,c,False,False,+
'Arlindo Oliveira',8,8,0,17,11,8,13,3,True,False,False,True,False,False,v,c,c,v,c,c,False,True,-
'Irina Tchoumatchenko',8,12,8,17,8,13,0,-65,True,False,True,False,True,False,v,c,v,c,v,c,False,True,-
'Robert C. Holte',4,11,17,14,1,4,17,19,False,True,False,True,False,False,c,v,c,v,c,c,True,False,+
'Michele Sebag',5,8,12,8,2,7,4,11,True,True,True,False,True,False,c,v,c,c,v,c,False,False,+
'Jorg-Uwe Kietz',5,9,9,14,17,6,-52,20,False,True,False,True,True,True,c,v,c,c,c,v,True,False,+
'Yoshifumi Sakai',7,8,24,14,18,7,8,5,True,True,True,False,True,False,c,v,c,c,v,c,False,False,+
'Thomas E. Kammeyer',6,12,19,7,14,12,0,18,False,False,True,True,True,True,c,c,v,c,v,c,True,True,-
'Yoav Freund',4,7,24,14,0,21,-65,5,True,True,True,False,False,False,c,v,v,c,c,c,True,True,+
'R. Andrew McCallum',4,14,17,-51,-65,0,13,3,False,False,False,True,False,False,c,c,c,v,c,c,True,True,-
'Jonathan Gratch',4,11,9,14,13,0,19,7,False,True,False,True,False,False,c,v,c,v,c,c,True,True,+
'Margo Guertin',5,8,12,0,17,6,14,-65,True,True,False,True,True,False,c,v,c,c,v,c,False,False,+
'Huw Roberts',3,8,7,20,22,-65,17,14,False,True,True,False,False,True,c,v,c,c,c,v,False,False,+
'Sally Goldman',3,10,18,0,11,11,24,-65,True,True,False,False,True,False,c,v,c,c,c,c,False,False,+
'Bhaskar Dasgupta',5,11,1,7,0,18,10,0,False,False,True,True,True,True,c,c,v,c,c,v,False,True,-
'Fernando Pereira',7,9,5,4,17,13,0,13,False,True,False,False,True,False,c,v,c,c,v,c,True,False,+
'Nina Mishra',4,7,13,8,13,0,-65,12,False,True,False,True,False,True,c,v,c,v,c,c,True,True,+
'Wray Buntine',4,8,22,17,0,24,-65,1,True,False,True,True,False,False,c,c,v,c,c,c,True,False,-
'William A. Greene',7,10,22,8,11,11,8,0,True,True,False,False,True,True,c,v,c,c,v,v,False,True,+
'Yolanda Gil',4,7,24,14,11,0,13,3,True,True,False,True,False,False,c,v,c,v,c,c,False,False,+
'Chris Drummond',3,11,2,7,17,8,18,-65,True,False,False,True,True,False,c,c,c,v,c,c,False,True,-
'Claude Sammut',5,8,2,11,0,20,3,4,True,False,True,True,False,True,c,c,v,v,c,v,True,True,-
'Charles X. Ling',3,12,2,7,0,17,11,4,True,False,True,False,False,True,c,c,v,c,c,v,False,True,-
'Sanjay Jain',4,7,18,0,13,9,0,24,True,True,False,False,True,True,c,v,c,c,v,c,True,True,+
'Stefan Kramer',4,9,18,19,4,5,0,13,True,False,True,False,True,False,c,c,v,c,v,c,True,True,-
'Cristina Baroglio',7,10,2,17,8,18,19,8,True,False,True,True,False,True,c,c,v,c,c,v,True,True,-
'Dwight Schrute',3,11,3,22,8,6,7,19,False,True,True,True,False,False,c,c,v,c,c,c,True,False,+
'Leslie Pack Kaelbling',7,14,11,4,18,11,8,4,False,True,True,False,True,True,c,v,c,c,v,v,True,False,+
'Philip Chan',3,8,15,7,8,11,8,15,False,False,True,False,True,False,c,c,v,c,v,c,True,True,-
'Yishay Mansour',5,9,24,8,18,7,0,24,True,True,True,False,True,True,c,v,c,c,v,c,True,False,+
'Michael I. Jordan',6,11,12,8,2,7,0,4,True,True,True,False,True,True,c,v,c,c,v,v,False,True,+
'Patrick M. Murphy',3,14,15,0,19,17,8,2,False,True,False,False,True,True,c,v,c,c,v,c,False,True,+
'Karsten Verbeurgt',5,12,10,0,17,18,19,4,True,True,False,True,False,True,c,v,c,c,c,v,False,False,+
'Attilio Giordana',8,8,0,19,19,8,11,8,True,False,False,True,False,True,v,c,c,v,c,v,False,True,-
'Gerald F. DeJong',4,12,6,4,17,0,11,3,True,True,False,True,False,False,c,v,c,v,c,c,True,True,+
'Thomas Zeugmann',5,10,19,7,14,12,0,18,False,False,True,True,True,True,c,c,v,c,v,c,True,True,-
'Mandayam T. Suraj',5,12,12,0,13,3,0,24,True,True,False,False,True,True,c,v,c,c,v,c,True,False,+
'Michael Littman',5,10,12,8,2,7,0,4,True,True,True,False,True,True,c,v,c,c,v,v,False,False,+
'Shaul Markovitch',5,11,18,7,0,20,11,-65,True,False,True,True,False,False,c,c,v,v,c,c,False,True,-
'Eric Allender',5,8,4,17,8,2,-65,0,True,False,True,True,False,True,v,c,v,c,c,v,True,True,-
'Cullen Schaffer',4,11,2,20,11,11,4,13,True,True,False,False,True,False,c,v,c,c,v,c,True,True,+
'Roberto Piola',6,7,17,14,1,4,17,19,False,True,False,True,False,False,c,v,c,v,c,c,False,False,+
'Nader Bshouty',4,9,13,0,3,4,17,-65,False,True,False,True,False,False,c,v,c,v,c,c,False,False,+
'Bruce A. MacDonald',6,12,1,17,20,2,4,-65,False,False,True,True,True,False,c,c,v,c,v,c,False,False,-
'Kamal M. Ali',4,8,10,0,12,0,11,-65,True,True,True,True,False,False,c,v,c,v,c,c,False,False,+
'Foster J. Provost',4,13,5,14,18,19,4,17,False,True,True,False,True,False,c,v,c,c,v,c,True,False,+
'Wolfgang Janko',4,10,22,14,11,5,6,0,True,True,False,False,True,True,c,v,c,c,c,v,True,False,+
'Seth Flanders',3,10,18,4,19,7,-65,5,True,True,False,False,False,False,c,v,c,c,c,c,True,True,+
'Peter Bartlett',4,10,15,4,19,4,17,-65,False,True,False,True,False,False,c,v,c,v,c,c,False,True,+
'Craig Knoblock',4,10,2,17,0,8,6,-65,True,False,True,True,True,False,c,c,v,v,c,c,False,True,-
'Earl S. Harris Jr.',4,14,4,0,17,11,-65,18,True,True,False,False,False,True,v,v,c,c,c,c,True,False,+
'Prasad Tadepalli',6,10,15,17,0,18,0,3,False,False,True,True,True,False,c,c,v,c,v,c,True,False,-
'Stan Matwin',3,8,18,19,0,13,-65,12,True,False,True,False,False,True,c,c,v,c,c,c,True,True,-
'Pascal Koiran',5,8,15,0,18,2,0,11,False,True,True,True,True,False,c,v,c,c,v,c,True,True,+
'Sandra Panizza',5,9,18,0,13,3,17,0,True,True,False,False,False,True,c,v,c,c,c,v,True,False,+
'George Berg',4,7,6,4,14,17,6,4,True,True,True,False,True,True,c,v,v,c,c,v,True,True,+
'Stephen Kwek',3,9,18,19,4,15,7,4,True,False,True,False,False,True,c,c,v,c,c,v,False,True,-
'J. R. Quinlan',3,10,9,-51,-65,17,-51,-65,False,False,False,False,False,False,c,c,c,c,c,c,True,False,-
'Sebastian Seung',6,9,18,4,1,0,18,19,True,True,False,True,True,False,c,v,c,v,c,c,False,False,+
'Susan L. Epstein',5,11,18,20,18,0,13,-65,True,True,True,True,False,False,c,v,c,v,c,c,False,False,+
